Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
5/6/14,159.9968816,160.1075219,158.9245667,158.9586029,85454000,6,1,19,5,2014
5/7/14,159.4947517,159.971336,158.3032779,159.8947449,106500000,7,2,19,5,2014
5/8/14,159.7500612,160.8904612,159.2138973,159.7245178,93618000,8,3,19,5,2014
5/9/14,159.7500678,160.0309019,159.0011421,159.9628296,83679000,9,4,19,5,2014
5/12/14,160.67772,161.5968525,159.9968796,161.5202484,86940000,12,0,20,5,2014
5/13/14,161.7330199,162.056422,161.5032464,161.6649475,66454000,13,1,20,5,2014
5/14/14,161.5202783,161.5968824,160.6692309,160.8990173,72367000,14,2,20,5,2014
5/15/14,160.5755913,160.6096405,158.7032899,159.4862518,154956000,15,3,20,5,2014
5/16/14,159.5798712,160.1075293,158.9075495,160.039444,97458000,16,4,20,5,2014
5/19/14,159.733061,160.7543151,159.5883845,160.6266632,63839000,19,0,21,5,2014
5/20/14,160.550051,160.5670756,159.2054078,159.6139069,111644000,20,1,21,5,2014
5/21/14,160.0735215,161.0352093,160.0479911,160.9586182,89093000,21,2,21,5,2014
5/22/14,161.0011498,161.6819904,160.7288214,161.3500824,61549000,22,3,21,5,2014
5/23/14,161.4947289,162.107484,161.3500524,161.9968567,61092800,23,4,21,5,2014
5/27/14,162.6010815,163.0436297,162.5074658,162.992569,72010000,27,1,22,5,2014
5/28/14,162.9925592,163.2478759,162.6010718,162.8734131,66723000,28,2,22,5,2014
5/29/14,163.247892,163.741488,162.8308742,163.7159576,64377000,29,3,22,5,2014
5/30/14,163.5627773,164.0819166,163.4266066,163.9797821,76316000,30,4,22,5,2014
6/2/14,164.2095929,164.2436421,163.3755701,164.167038,64656000,2,0,23,6,2014
6/3/14,163.7670433,164.1670366,163.613861,164.0819397,65047000,3,1,23,6,2014
6/4/14,163.8010481,164.5074188,163.6308413,164.4138031,55529000,4,2,23,6,2014
6/5/14,164.6010464,165.6563366,163.9967971,165.4861298,92103000,5,3,23,6,2014
6/6/14,165.8436064,166.3201909,165.7670153,166.2776489,78696000,6,4,23,6,2014
6/9/14,166.252093,166.8478235,166.0988977,166.4478302,65119000,9,0,24,6,2014
6/10/14,166.2435479,166.4988647,165.8861097,166.4648285,57129000,10,1,24,6,2014
6/11/14,165.8690991,166.0563305,165.5116608,165.8861237,68772000,11,2,24,6,2014
6/12/14,165.690382,165.7839977,164.3457259,164.7116699,106350000,12,3,24,6,2014
6/13/14,165.0350958,165.3755225,164.5074506,165.2138214,82017000,13,4,24,6,2014
6/16/14,165.0095162,165.6988622,164.813779,165.3499298,87424000,16,0,25,6,2014
6/17/14,165.1201632,165.9286554,164.9414376,165.8095093,84834000,17,1,25,6,2014
6/18/14,165.8094679,167.1200744,165.443511,167.0264587,105267000,18,2,25,6,2014
6/19/14,167.1712054,167.3158949,166.6350545,167.2137604,85929000,19,3,25,6,2014
6/20/14,167.6302266,167.6900916,167.3480336,167.5532684,100587000,20,4,25,6,2014
6/23/14,167.5960174,167.6473229,167.1941075,167.5019531,70611000,23,0,26,6,2014
6/24/14,167.2026143,168.0320867,166.3047303,166.4928589,96237000,24,1,26,6,2014
6/25/14,166.142273,167.4164143,166.1080737,167.2453918,82782000,25,2,26,6,2014
6/26/14,167.2710869,167.2881931,166.0055049,167.1257172,84312000,26,3,26,6,2014
6/27/14,166.7322923,167.5019127,166.6553342,167.4506073,71445100,27,4,26,6,2014
6/30/14,167.3479756,167.7498855,167.2026059,167.3650818,70201200,30,0,27,6,2014
7/1/14,167.7755655,168.9984014,167.7157136,168.485321,90470000,1,1,27,7,2014
7/2/14,168.50241,168.8701076,168.4254519,168.6563263,52475000,2,2,27,7,2014
7/3/14,169.1352201,169.5627827,169.0069565,169.4858246,52938800,3,3,27,7,2014
7/7/14,169.1608364,169.2976465,168.6477562,168.8957367,61696000,7,0,28,7,2014
7/8/14,168.587938,168.647803,167.3993144,167.8097839,108143000,8,1,28,7,2014
7/9/14,168.2287424,168.7161699,167.8695914,168.5622406,72992000,9,2,28,7,2014
7/10/14,166.9375429,168.3399477,166.8007197,167.8952789,99040000,10,3,28,7,2014
7/11/14,167.7926918,168.2459072,167.4164346,168.1261902,64243000,11,4,28,7,2014
7/14/14,168.9813249,169.1951062,168.8359551,168.9727783,58658000,14,0,29,7,2014
7/15/14,169.0753423,169.400294,167.9123716,168.6563263,111307000,15,1,29,7,2014
7/16/14,169.4088727,169.5371363,168.8188342,169.2806091,79986400,16,2,29,7,2014
7/17/14,168.7589723,169.4003162,167.1171203,167.3565674,145398000,17,3,29,7,2014
7/18/14,167.9038019,169.2377949,167.8097376,169.0667725,124330000,18,4,29,7,2014
7/21/14,168.5366154,168.8872199,167.9722297,168.7503967,67592000,21,0,30,7,2014
7/22/14,169.3233487,169.7936702,169.2036317,169.4858246,67678000,22,1,30,7,2014
7/23/14,169.7423283,170.0416273,169.4002835,169.8620453,65612000,23,2,30,7,2014
7/24/14,170.0245501,170.2212252,169.6995983,169.8706207,56888000,24,3,30,7,2014
7/25/14,169.3917553,169.537125,168.7418648,169.0753632,76837000,25,4,30,7,2014
7/28/14,169.1096018,169.3917947,168.1347593,169.1438141,69259000,28,0,31,7,2014
7/29/14,169.4601544,169.6995884,168.3912479,168.4169006,80466000,29,1,31,7,2014
7/30/14,169.0154676,169.2378085,167.7413396,168.4425354,104222000,30,2,31,7,2014
7/31/14,167.271054,167.4164237,165.0135238,165.1161346,183479000,31,3,31,7,2014
8/1/14,164.6629387,165.6890866,163.816373,164.6116333,189261000,1,4,31,8,2014
8/4/14,164.9279854,166.1508211,164.2267895,165.8002167,91340000,4,0,32,8,2014
8/5/14,165.1246775,165.5522401,163.5939962,164.1925812,152690000,5,1,32,8,2014
8/6/14,163.4230313,164.9451536,163.3973786,164.2439575,94818000,6,2,32,8,2014
8/7/14,164.9878299,165.1503058,162.9440816,163.354538,135733000,7,3,32,8,2014
8/8/14,163.7223084,165.355588,163.2861861,165.2444305,117014000,8,4,32,8,2014
8/11/14,165.8686516,166.4586901,165.6463237,165.7232819,74544000,11,0,33,8,2014
8/12/14,165.560828,166.02259,164.9878955,165.4924164,73632000,12,1,33,8,2014
8/13/14,166.1422579,166.8007079,165.8600781,166.6125793,69047000,13,2,33,8,2014
8/14/14,166.8862552,167.3993225,166.7323258,167.3993225,57371000,14,3,33,8,2014
8/15/14,168.0064256,168.1603418,166.1593523,167.3650818,139951000,15,4,33,8,2014
8/18/14,168.2886338,168.84446,168.1945695,168.7675018,75424000,18,0,34,8,2014
8/19/14,169.1779482,169.7765332,168.8359034,169.6482697,59135000,19,1,34,8,2014
8/20/14,169.4174291,170.3067668,169.3832298,170.101532,72763000,20,2,34,8,2014
8/21/14,170.2468991,170.8198316,170.110076,170.5975037,67791000,21,3,34,8,2014
8/22/14,170.4606458,170.7599448,169.9475785,170.3323822,76107000,22,4,34,8,2014
8/25/14,171.1447853,171.5295891,170.2982065,171.1960907,63855000,25,0,35,8,2014
8/26/14,171.307251,171.7262671,171.2644921,171.307251,47298000,26,1,35,8,2014
8/27/14,171.3927468,171.5124769,170.9737438,171.2388306,47874000,27,2,35,8,2014
8/28/14,170.674393,171.2558848,170.5033706,171.1447144,58330000,28,3,35,8,2014
8/29/14,171.4098612,171.6492953,170.8711412,171.6322021,65907000,29,4,35,8,2014
9/2/14,171.854507,171.8801597,170.9053175,171.5466614,72426000,2,1,36,9,2014
9/3/14,172.2051052,172.230758,171.2131569,171.4525909,57462000,3,2,36,9,2014
9/4/14,171.743371,172.3761684,170.7343293,171.2046509,85236000,4,3,36,9,2014
9/5/14,171.1703929,172.0426242,170.5205026,171.9742126,102177000,5,4,36,9,2014
9/8/14,171.8117644,172.0597581,171.0250508,171.5295715,64146000,8,0,37,9,2014
9/9/14,171.3756564,171.4953734,170.0929685,170.443573,88591000,9,1,37,9,2014
9/10/14,170.5376073,171.1960573,169.9732346,171.0848999,67251000,10,2,37,9,2014
9/11/14,170.4008078,171.3072384,170.2725311,171.2815857,66774400,11,3,37,9,2014
9/12/14,171.1105393,171.1276324,169.7936393,170.2810669,117409300,12,4,37,9,2014
9/15/14,170.3067156,170.4435387,169.639719,170.1527863,76401000,15,0,38,9,2014
9/16/14,169.8364211,171.7433467,169.7423568,171.4355011,116201000,16,1,38,9,2014
9/17/14,171.6835185,172.4616727,170.811287,171.6664124,151266000,17,2,38,9,2014
9/18/14,172.1880422,172.6070584,171.9657143,172.5814056,94990000,18,3,38,9,2014
9/19/14,173.1303595,173.4568171,172.0736295,172.4258728,121649000,19,4,38,9,2014
9/22/14,172.1251497,172.1509223,170.7333627,171.0941925,125553000,22,0,39,9,2014
9/23/14,170.4756369,171.18871,170.0632619,170.1148071,111393000,23,1,39,9,2014
9/24/14,170.1406175,171.5581775,169.6938833,171.4464874,107276000,24,2,39,9,2014
9/25/14,170.9997275,171.0083271,168.6199677,168.6800995,150300000,25,3,39,9,2014
9/26/14,168.9893652,170.4412841,168.748812,170.0203094,103547000,26,4,39,9,2014
9/29/14,168.5597931,170.0117118,168.43093,169.7110138,95112000,29,0,40,9,2014
9/30/14,169.8398773,170.3639424,168.9120237,169.264267,131302000,30,1,40,9,2014
10/1/14,168.9893889,169.0495338,166.592443,166.970459,177798000,1,2,40,10,2014
10/2/14,166.8243961,167.5804281,165.2522135,166.9962311,157285000,2,3,40,10,2014
10/3/14,168.1131049,169.1956078,167.5976392,168.8347778,121569000,3,4,40,10,2014
10/6/14,169.5392426,169.7626228,168.0271916,168.6371613,104778000,6,0,41,10,2014
10/7/14,167.7693967,168.1474126,165.9996069,166.0339661,147913000,7,1,41,10,2014
10/8/14,166.1284866,169.1783736,165.2607778,168.9378204,186461000,8,2,41,10,2014
10/9/14,168.6715581,168.9035249,165.449848,165.5873108,210705000,9,3,41,10,2014
10/10/14,165.5443105,166.3690607,163.6542437,163.6971893,221909000,10,4,41,10,2014
10/13/14,163.6284589,164.2212423,160.9136289,161.0081329,230939000,13,0,42,10,2014
10/14/14,161.875817,163.0785961,160.6902241,161.2572479,215847000,14,1,42,10,2014
10/15/14,159.0751226,161.2487015,156.291561,160.1661987,380715000,15,2,42,10,2014
10/16/14,157.2709736,161.1542113,157.1249244,160.0287628,270391000,16,3,42,10,2014
10/17/14,161.8758492,163.0184837,161.1885487,161.918808,214625000,17,4,42,10,2014
10/20/14,161.6267033,163.6198604,161.575158,163.4909973,130011000,20,0,43,10,2014
10/21/14,164.6765738,166.8415659,164.504752,166.7298889,154949000,21,1,43,10,2014
10/22/14,167.0219724,167.4515336,165.4755496,165.544281,151822000,22,2,43,10,2014
10/23/14,167.2023784,168.5597932,166.8930939,167.4687042,154944000,23,3,43,10,2014
10/24/14,167.7436879,168.8090047,167.0907595,168.7574463,117927000,24,4,43,10,2014
10/27/14,168.1560831,168.7746525,167.5546998,168.5255127,82954000,27,0,44,10,2014
10/28/14,169.0924793,170.4670673,169.0151484,170.4584808,106736000,28,1,44,10,2014
10/29/14,170.57873,171.0684229,169.075266,170.2007141,142557000,29,2,44,10,2014
10/30/14,169.7454166,171.7815326,169.5907677,171.2918396,113330000,30,3,44,10,2014
10/31/14,173.3537314,173.3881036,172.4860224,173.2506409,146903000,31,4,44,10,2014
11/3/14,173.4739559,173.9292896,172.9498908,173.3450928,93600000,3,0,45,11,2014
11/4/14,172.8811935,173.1990777,171.8760219,172.7437439,93343000,4,1,45,11,2014
11/5/14,174.0066455,174.0496042,173.0702052,173.8348236,91709000,5,2,45,11,2014
11/6/14,173.8777268,174.6251589,173.2333852,174.5306549,107089000,6,3,45,11,2014
11/7/14,174.5478595,174.9172889,174.0667531,174.6939087,89540000,7,4,45,11,2014
11/10/14,174.7283393,175.2953502,174.5135587,175.2438049,66319000,10,0,46,11,2014
11/11/14,175.3125131,175.5272937,174.9602698,175.4156036,54499400,11,1,46,11,2014
11/12/14,174.7025431,175.4671615,174.6681709,175.2266083,90120300,12,2,46,11,2014
11/13/14,175.3984217,175.9740321,174.5822581,175.4241943,85357900,13,3,46,11,2014
11/14/14,175.3469322,175.6819895,175.0204614,175.4672089,80417500,14,4,46,11,2014
11/17/14,175.1321079,175.7592636,174.960273,175.5788422,80441000,17,0,47,11,2014
11/18/14,175.6389641,176.9104614,175.6389641,176.5925903,76068100,18,1,47,11,2014
11/19/14,176.3864152,176.5926093,175.5187063,176.3090973,82373000,19,2,47,11,2014
11/20/14,175.4843754,176.7301136,175.415644,176.6184235,72840300,20,3,47,11,2014
11/21/14,178.3881635,178.5599853,176.9620172,177.5634003,142327300,21,4,47,11,2014
11/24/14,177.9844039,178.1734119,177.7610368,178.0617218,65880800,24,0,48,11,2014
11/25/14,178.3022624,178.517043,177.6665202,177.9328461,79108300,25,1,48,11,2014
11/26/14,178.087455,178.4912436,177.864088,178.3881531,62167800,26,2,48,11,2014
11/28/14,178.2593152,178.5857728,177.7610226,178.0101624,57890100,28,4,48,11,2014
12/1/14,177.3228633,177.44314,176.4465679,176.7730255,103968400,1,0,49,12,2014
12/2/14,176.8160193,178.1304758,176.7902467,177.9156952,74507200,2,1,49,12,2014
12/3/14,178.0961024,178.8263487,177.9242805,178.6029816,68952000,3,2,49,12,2014
12/4/14,178.3022461,178.9294149,177.5805865,178.4053497,91316600,4,3,49,12,2014
12/5/14,178.5857739,179.1012526,178.3108615,178.697464,91025500,5,4,49,12,2014
12/8/14,178.2850698,178.8005354,176.9190554,177.5032654,108588200,8,0,50,12,2014
12/9/14,175.5788636,177.4947162,175.1836746,177.3830261,125180100,9,1,50,12,2014
12/10/14,176.9018932,176.9620249,174.3416991,174.5393066,159856400,10,2,50,12,2014
12/11/14,175.1578685,177.142439,175.0118193,175.4241943,159012800,11,3,50,12,2014
12/12/14,174.0925756,175.106347,172.5547522,172.5891113,202330200,12,4,50,12,2014
12/15/14,173.5255522,173.9980722,170.7763629,171.4035187,189965800,15,0,51,12,2014
12/16/14,170.6045411,173.8863822,169.9859719,170.0289307,259543800,16,1,51,12,2014
12/17/14,170.4842675,173.8348399,170.3553913,173.3623199,253910100,17,2,51,12,2014
12/18/14,175.8967338,182.9673078,175.1922471,177.6493378,257633900,18,3,51,12,2014
12/19/14,178.3274546,179.1049402,177.6190929,178.4052124,245084600,19,4,51,12,2014
12/22/14,178.6039079,179.2258911,178.3533931,179.2258911,148318900,22,0,52,12,2014
12/23/14,179.8305795,179.8824092,179.1654005,179.4677582,122167900,23,1,52,12,2014
12/24/14,179.7009666,179.9773962,179.4418048,179.4850006,42963400,24,2,52,12,2014
12/26/14,179.9515362,180.4180302,179.8997065,180.0638428,57326700,26,4,52,12,2014
12/29/14,179.873793,180.5216911,179.8046823,180.3057251,79643900,29,0,1,12,2014
12/30/14,179.8651228,180.003331,179.2604075,179.3381653,73540800,30,1,1,12,2014
12/31/14,179.6751173,179.8478875,177.4290652,177.5586395,130333800,31,2,1,12,2014
